Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Login-Repo/Password_inputText""), Invalid_password)",Chrome 112.0.0.0,,,2023-04-07 03:28:40,2023-04-07 03:28:41,0.632s,PASSED
"click(findTestObject(""Login-Repo/RememberMe_check_button""))",Chrome 112.0.0.0,,,2023-04-07 03:28:41,2023-04-07 03:28:41,0.335s,PASSED
"click(findTestObject(""Login-Repo/Login_button(loginpage)""))",Chrome 112.0.0.0,,,2023-04-07 03:28:41,2023-04-07 03:28:41,0.333s,PASSED
delay(2),Chrome 112.0.0.0,,,2023-04-07 03:28:41,2023-04-07 03:28:43,2.007s,PASSED
"verifyElementText(findTestObject(""Login-Repo/Assert-verify-element/assert-error_incorrect-username-or-password""), ""Incorrect username or password."")",Chrome 112.0.0.0,,,2023-04-07 03:28:43,2023-04-07 03:28:44,0.304s,PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-07 03:28:44,2023-04-07 03:28:44,0.623s,PASSED
Video,Chrome 112.0.0.0,,,2023-04-07 03:28:46,2023-04-07 03:28:46,0.000s,PASSED
,,,,,,,
Test Cases/LOGIN/Login with email/LOG-06,Chrome 112.0.0.0,Login dengan email yang tidak terdaftar dan kata sandi yang benar.,,2023-04-07 03:28:46,2023-04-07 03:29:05,18.997s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 112.0.0.0,,,2023-04-07 03:28:46,2023-04-07 03:28:46,0.005s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-07 03:28:46,2023-04-07 03:28:48,1.084s,PASSED
maximizeWindow(),Chrome 112.0.0.0,,,2023-04-07 03:28:48,2023-04-07 03:28:48,0.153s,PASSED
navigateToUrl(website),Chrome 112.0.0.0,,,2023-04-07 03:28:48,2023-04-07 03:28:50,2.443s,PASSED
"click(findTestObject(""Login-Repo/Login_button(homepage)""))",Chrome 112.0.0.0,,,2023-04-07 03:28:50,2023-04-07 03:28:56,5.784s,PASSED
"setText(findTestObject(""Login-Repo/Email_inputText""), Invalid_email)",Chrome 112.0.0.0,,,2023-04-07 03:28:56,2023-04-07 03:28:59,3.027s,PASSED
"setText(findTestObject(""Login-Repo/Password_inputText""), Valid_password)",Chrome 112.0.0.0,,,2023-04-07 03:28:59,2023-04-07 03:29:00,0.651s,PASSED
"click(findTestObject(""Login-Repo/RememberMe_check_button""))",Chrome 112.0.0.0,,,2023-04-07 03:29:00,2023-04-07 03:29:00,0.328s,PASSED
